source,target,r,weight,tipo,mesma_comunidade
SDG16_1_OB_HM,SDG16_4_TX_HMC,0.9052,0.9052,sinergia,True
SDG3_15_T_M_INF,SDG3_17_T_M_5A,0.8978,0.8978,sinergia,True
SDG3_15_T_M_INF,SDG3_18_T_M_NT,0.8452,0.8452,sinergia,True
SDG16_3_M_ARM_FG,SDG16_4_TX_HMC,0.8186,0.8186,sinergia,True
SDG3_17_T_M_5A,SDG3_18_T_M_NT,0.8172,0.8172,sinergia,True
SDG16_1_OB_HM,SDG16_3_M_ARM_FG,0.7893,0.7893,sinergia,True
SDG13_2_CO2,SDG17_3_P_RC_TRB,-0.6896,0.6896,trade-off,True
SDG17_3_P_RC_TRB,SDG6_6_SERV_AG,0.675,0.675,sinergia,True
SDG17_1_INVST_PB,SDG3_27_DSP_SAU,0.6592,0.6592,sinergia,True
SDG4_18_D_SUP_EI,SDG4_19_D_SUP_EF,0.6478,0.6478,sinergia,True
SDG13_2_CO2,SDG15_2_FLOR,0.6191,0.6191,sinergia,True
SDG13_2_CO2,SDG3_9_INC_TRB,-0.6051,0.6051,trade-off,True
SDG5_6_RND_GEN,SDG8_9_T_OCUP_FORM,-0.603,0.603,trade-off,True
SDG3_27_DSP_SAU,SDG4_7_FR_E_4A17_AJ,0.5944,0.5944,sinergia,True
SDG15_2_FLOR,SDG17_3_P_RC_TRB,-0.5878,0.5878,trade-off,True
SDG17_1_INVST_PB,SDG4_7_FR_E_4A17_AJ,0.5862,0.5862,sinergia,True
SDG17_3_P_RC_TRB,SDG3_27_DSP_SAU,-0.5844,0.5844,trade-off,True
SDG17_3_P_RC_TRB,SDG9_2_EMP_INT,0.5724,0.5724,sinergia,True
SDG17_3_P_RC_TRB,SDG4_7_FR_E_4A17_AJ,-0.5544,0.5544,trade-off,True
SDG16_4_TX_HMC,SDG3_6_ID_MD_M,-0.5499,0.5499,trade-off,True
SDG13_2_CO2,SDG6_6_SERV_AG,-0.5467,0.5467,trade-off,True
SDG13_2_CO2,SDG3_27_DSP_SAU,0.5432,0.5432,sinergia,True
SDG17_3_P_RC_TRB,SDG3_19_T_M_AIDS,0.5423,0.5423,sinergia,True
SDG13_2_CO2,SDG4_7_FR_E_4A17_AJ,0.5416,0.5416,sinergia,True
SDG3_2_INC_DNG,SDG3_3_HPT,0.5395,0.5395,sinergia,True
SDG17_3_P_RC_TRB,SDG3_32_UBS,-0.537,0.537,trade-off,True
SDG17_1_INVST_PB,SDG17_3_P_RC_TRB,-0.5275,0.5275,trade-off,True
SDG15_2_FLOR,SDG6_6_SERV_AG,-0.5244,0.5244,trade-off,True
SDG2_1_OBS_INF,SDG2_3_DSNT_INF,0.5184,0.5184,sinergia,True
SDG17_3_P_RC_TRB,SDG8_9_T_OCUP_FORM,0.5135,0.5135,sinergia,True
SDG16_1_OB_HM,SDG3_6_ID_MD_M,-0.4959,0.4959,trade-off,True
SDG16_3_M_ARM_FG,SDG3_6_ID_MD_M,-0.4922,0.4922,trade-off,True
SDG6_6_SERV_AG,SDG8_9_T_OCUP_FORM,0.4913,0.4913,sinergia,True
SDG17_3_P_RC_TRB,SDG3_9_INC_TRB,0.4824,0.4824,sinergia,True
SDG13_2_CO2,SDG3_19_T_M_AIDS,-0.4639,0.4639,trade-off,True
SDG3_8_GRV,SDG4_4_PCT_CRECHE,-0.4571,0.4571,trade-off,True
SDG4_7_FR_E_4A17_AJ,SDG9_2_EMP_INT,-0.4535,0.4535,trade-off,True
SDG13_2_CO2,SDG17_1_INVST_PB,0.4524,0.4524,sinergia,True
SDG10_35_VLC_LGBT,SDG17_3_P_RC_TRB,0.4483,0.4483,sinergia,True
SDG16_4_TX_HMC,SDG3_8_GRV,0.4458,0.4458,sinergia,True
SDG8_9_T_OCUP_FORM,SDG9_2_EMP_INT,0.4452,0.4452,sinergia,True
SDG13_2_CO2,SDG8_9_T_OCUP_FORM,-0.4451,0.4451,trade-off,True
SDG4_7_FR_E_4A17_AJ,SDG8_9_T_OCUP_FORM,-0.4447,0.4447,trade-off,True
SDG10_35_VLC_LGBT,SDG6_6_SERV_AG,0.4419,0.4419,sinergia,True
SDG3_6_ID_MD_M,SDG3_8_GRV,-0.4377,0.4377,trade-off,True
SDG1_1_P_F_CU,SDG3_6_ID_MD_M,-0.4344,0.4344,trade-off,True
SDG3_9_INC_TRB,SDG6_6_SERV_AG,0.4325,0.4325,sinergia,True
SDG3_6_ID_MD_M,SDG4_7_FR_E_4A17_AJ,0.4267,0.4267,sinergia,False
SDG3_27_DSP_SAU,SDG9_2_EMP_INT,-0.4266,0.4266,trade-off,True
SDG3_19_T_M_AIDS,SDG3_9_INC_TRB,0.4259,0.4259,sinergia,True
SDG3_29_SF,SDG4_7_FR_E_4A17_AJ,0.4246,0.4246,sinergia,True
SDG13_2_CO2,SDG9_2_EMP_INT,-0.4232,0.4232,trade-off,True
SDG1_1_P_F_CU,SDG3_8_GRV,0.4222,0.4222,sinergia,True
SDG13_2_CO2,SDG6_1_IN_DRSAI,0.4216,0.4216,sinergia,True
SDG17_1_INVST_PB,SDG3_32_UBS,0.4196,0.4196,sinergia,True
SDG17_3_P_RC_TRB,SDG3_1_C_VCN,-0.4185,0.4185,trade-off,False
SDG3_9_INC_TRB,SDG4_7_FR_E_4A17_AJ,-0.4143,0.4143,trade-off,True
SDG6_6_SERV_AG,SDG9_2_EMP_INT,0.4138,0.4138,sinergia,True
SDG4_7_FR_E_4A17_AJ,SDG6_6_SERV_AG,-0.4126,0.4126,trade-off,True
SDG12_2_RSD_SLD,SDG3_3_HPT,0.4115,0.4115,sinergia,True
SDG3_27_DSP_SAU,SDG3_32_UBS,0.4059,0.4059,sinergia,True
SDG3_19_T_M_AIDS,SDG6_6_SERV_AG,0.4054,0.4054,sinergia,True
SDG10_35_VLC_LGBT,SDG13_2_CO2,-0.4009,0.4009,trade-off,True
SDG13_2_CO2,SDG3_32_UBS,0.4005,0.4005,sinergia,True
SDG15_2_FLOR,SDG3_19_T_M_AIDS,-0.3969,0.3969,trade-off,True
SDG17_1_INVST_PB,SDG9_2_EMP_INT,-0.3929,0.3929,trade-off,True
SDG15_2_FLOR,SDG3_9_INC_TRB,-0.3923,0.3923,trade-off,True
SDG3_19_T_M_AIDS,SDG3_1_C_VCN,-0.3918,0.3918,trade-off,False
SDG1_1_P_F_CU,SDG3_1_C_VCN,-0.3832,0.3832,trade-off,True
SDG15_2_FLOR,SDG3_3_HPT,-0.3829,0.3829,trade-off,False
SDG15_2_FLOR,SDG3_2_INC_DNG,-0.3823,0.3823,trade-off,False
SDG15_2_FLOR,SDG9_2_EMP_INT,-0.3817,0.3817,trade-off,True
SDG3_32_UBS,SDG9_2_EMP_INT,-0.3811,0.3811,trade-off,True
SDG17_3_P_RC_TRB,SDG4_14B_P_E_AEE,-0.3806,0.3806,trade-off,True
SDG16_1_OB_HM,SDG3_8_GRV,0.3805,0.3805,sinergia,True
SDG3_6_ID_MD_M,SDG4_3_TDI_EF_RP,-0.3791,0.3791,trade-off,True
SDG16_3_M_ARM_FG,SDG3_8_GRV,0.3754,0.3754,sinergia,True
SDG3_32_UBS,SDG4_7_FR_E_4A17_AJ,0.3741,0.3741,sinergia,True
SDG3_19_T_M_AIDS,SDG4_7_FR_E_4A17_AJ,-0.3724,0.3724,trade-off,True
SDG15_2_FLOR,SDG8_9_T_OCUP_FORM,-0.3697,0.3697,trade-off,True
SDG13_2_CO2,SDG3_6_ID_MD_M,0.3696,0.3696,sinergia,False
SDG3_32_UBS,SDG6_6_SERV_AG,-0.3668,0.3668,trade-off,True
SDG13_2_CO2,SDG3_16_M_MAT,-0.3668,0.3668,trade-off,True
SDG3_19_T_M_AIDS,SDG3_6_ID_MD_M,-0.3657,0.3657,trade-off,False
SDG3_22_T_M_DC,SDG4_7_FR_E_4A17_AJ,0.3653,0.3653,sinergia,True
SDG3_22_T_M_DC,SDG8_9_T_OCUP_FORM,-0.3632,0.3632,trade-off,True
SDG1_1_P_F_CU,SDG3_3_P_NV_7PN,0.3631,0.3631,sinergia,True
SDG3_27_DSP_SAU,SDG3_9_INC_TRB,-0.3625,0.3625,trade-off,True
SDG5_6_RND_GEN,SDG6_6_SERV_AG,-0.362,0.362,trade-off,True
