id_municipio,SDG10_20_MINF_norm,SDG10_20_MINF_cor,SDG10_21_GRV_norm,SDG10_21_GRV_cor,SDG10_22_ADER_norm,SDG10_22_ADER_cor,SDG10_35_VLC_LGBT_norm,SDG10_35_VLC_LGBT_cor,SDG10_3_RZHOM_norm,SDG10_3_RZHOM_cor,SDG11_33_M_TRNS_norm,SDG11_33_M_TRNS_cor,SDG12_2_RSD_SLD_norm,SDG12_2_RSD_SLD_cor,SDG13_2_CO2_norm,SDG13_2_CO2_cor,SDG13_6_TRNS_SL_norm,SDG13_6_TRNS_SL_cor,SDG15_2_FLOR_norm,SDG15_2_FLOR_cor,SDG16_1_OB_HM_norm,SDG16_1_OB_HM_cor,SDG16_3_M_ARM_FG_norm,SDG16_3_M_ARM_FG_cor,SDG16_4_TX_HMC_norm,SDG16_4_TX_HMC_cor,SDG17_1_INVST_PB_norm,SDG17_1_INVST_PB_cor,SDG17_3_P_RC_TRB_norm,SDG17_3_P_RC_TRB_cor,SDG1_1_P_F_CU_norm,SDG1_1_P_F_CU_cor,SDG2_1_OBS_INF_norm,SDG2_1_OBS_INF_cor,SDG2_2_P_NV_BPN_norm,SDG2_2_P_NV_BPN_cor,SDG2_3_DSNT_INF_norm,SDG2_3_DSNT_INF_cor,SDG3_13_SCD_norm,SDG3_13_SCD_cor,SDG3_15_T_M_INF_norm,SDG3_15_T_M_INF_cor,SDG3_16_M_MAT_norm,SDG3_16_M_MAT_cor,SDG3_17_T_M_5A_norm,SDG3_17_T_M_5A_cor,SDG3_18_T_M_NT_norm,SDG3_18_T_M_NT_cor,SDG3_19_T_M_AIDS_norm,SDG3_19_T_M_AIDS_cor,SDG3_1_C_VCN_norm,SDG3_1_C_VCN_cor,SDG3_22_T_M_DC_norm,SDG3_22_T_M_DC_cor,SDG3_27_DSP_SAU_norm,SDG3_27_DSP_SAU_cor,SDG3_29_SF_norm,SDG3_29_SF_cor,SDG3_2_INC_DNG_norm,SDG3_2_INC_DNG_cor,SDG3_32_UBS_norm,SDG3_32_UBS_cor,SDG3_3_HPT_norm,SDG3_3_HPT_cor,SDG3_3_P_NV_7PN_norm,SDG3_3_P_NV_7PN_cor,SDG3_6_ID_MD_M_norm,SDG3_6_ID_MD_M_cor,SDG3_8_GRV_norm,SDG3_8_GRV_cor,SDG3_9_INC_TRB_norm,SDG3_9_INC_TRB_cor,SDG4_13_P_E_ACS_norm,SDG4_13_P_E_ACS_cor,SDG4_14B_P_E_AEE_norm,SDG4_14B_P_E_AEE_cor,SDG4_18_D_SUP_EI_norm,SDG4_18_D_SUP_EI_cor,SDG4_19_D_SUP_EF_norm,SDG4_19_D_SUP_EF_cor,SDG4_1_P_EF_INT_norm,SDG4_1_P_EF_INT_cor,SDG4_26_R_M_D_PE_norm,SDG4_26_R_M_D_PE_cor,SDG4_27_R_M_D_EF_norm,SDG4_27_R_M_D_EF_cor,SDG4_3_TDI_EF_RP_norm,SDG4_3_TDI_EF_RP_cor,SDG4_4_PCT_CRECHE_norm,SDG4_4_PCT_CRECHE_cor,SDG4_7_FR_E_4A17_AJ_norm,SDG4_7_FR_E_4A17_AJ_cor,SDG5_6_RND_GEN_norm,SDG5_6_RND_GEN_cor,SDG5_8_TX_FMNC_norm,SDG5_8_TX_FMNC_cor,SDG6_1_IN_DRSAI_norm,SDG6_1_IN_DRSAI_cor,SDG6_4_PRD_AG_norm,SDG6_4_PRD_AG_cor,SDG6_6_SERV_AG_norm,SDG6_6_SERV_AG_cor,SDG8_9_T_OCUP_FORM_norm,SDG8_9_T_OCUP_FORM_cor,SDG9_1_INFRA_norm,SDG9_1_INFRA_cor,SDG9_2_EMP_INT_norm,SDG9_2_EMP_INT_cor
4200051,0.1575,green,0.1537,green,0.4611,orange,0.0,red,0.6473,red,0.0412,red,0.1579,orange,0.119,red,0.2814,orange,0.073,green,0.1992,orange,0.2787,red,0.1829,orange,0.7729,green,0.108,orange,0.5132,red,0.1311,yellow,0.4581,orange,0.1662,yellow,0.0869,green,0.27,yellow,0.0,orange,0.2826,green,0.1111,green,0.4866,red,0.1451,red,0.2519,yellow,0.5762,green,1.0,green,0.0043,green,0.2227,yellow,0.0,green,0.6242,red,0.6726,green,0.4835,red,0.0866,yellow,0.6567,green,0.0,red,1.0,green,0.8671,green,0.8343,red,0.2294,green,0.0288,orange,0.5059,orange,0.4748,yellow,0.9693,green,0.2323,red,0.2343,orange,0.0222,orange,0.3286,green,0.9435,green,0.3246,orange,0.5409,green,0.3264,green
4200101,0.1621,yellow,0.3488,yellow,0.2627,green,0.0,red,0.3369,green,0.1113,orange,0.3161,green,0.0621,orange,0.0836,green,0.0384,yellow,0.3233,red,0.2622,red,0.3958,red,0.1024,red,0.1438,yellow,0.6905,yellow,0.2142,orange,0.5747,red,0.3763,red,0.2286,yellow,0.465,red,0.3721,red,0.5566,red,0.2961,red,0.1782,yellow,0.2575,red,0.1921,green,0.2101,orange,1.0,green,0.1939,orange,0.195,orange,0.1634,orange,0.3839,orange,0.2932,red,0.5543,red,0.0967,orange,0.3213,orange,0.0543,red,0.6245,red,0.5669,red,0.8806,red,0.0837,red,0.0583,yellow,0.3715,yellow,0.1921,red,0.7538,orange,0.4407,yellow,0.262,orange,0.1124,green,0.5909,orange,0.6252,orange,0.4202,yellow,0.1461,orange,0.1567,yellow
4200200,0.1656,yellow,0.4272,red,0.3531,yellow,0.0,red,0.4759,orange,0.1529,yellow,0.1046,red,0.0323,yellow,0.3028,red,0.0194,orange,0.1342,yellow,0.2304,red,0.2175,orange,0.1118,red,0.1997,yellow,0.5999,orange,0.0945,yellow,0.2661,green,0.2785,orange,0.3615,orange,0.3277,yellow,0.3368,red,0.3671,yellow,0.1613,yellow,0.2328,orange,0.4403,yellow,0.46,orange,0.1819,orange,1.0,green,0.0049,yellow,0.2,yellow,0.0239,green,0.4276,orange,0.4388,orange,0.263,yellow,0.04,green,0.3644,orange,0.2221,yellow,0.7688,orange,0.5598,red,0.9044,orange,0.2596,green,0.0437,yellow,0.3182,yellow,0.4786,yellow,0.7683,orange,0.3064,red,0.4406,red,0.0243,orange,0.7341,red,0.7791,yellow,0.5085,green,0.2761,green,0.2287,yellow
4200309,0.2235,orange,0.4518,red,0.4922,orange,0.0,red,0.2921,green,0.4456,green,0.2435,yellow,0.0462,yellow,0.4975,red,0.0175,orange,0.0,green,0.0,green,0.0,green,0.2561,yellow,0.1533,yellow,0.604,orange,0.0135,green,0.2786,green,0.0649,green,0.3703,red,0.1063,green,0.275,red,0.1119,green,0.0,green,0.2288,orange,0.7753,green,0.2939,yellow,0.1556,red,0.8621,orange,0.0153,yellow,0.1294,orange,0.1082,yellow,0.2131,yellow,0.4644,orange,0.2655,yellow,0.0,green,0.1487,red,0.1392,orange,0.9153,green,0.698,orange,0.9029,orange,0.1164,orange,0.0609,yellow,0.4557,orange,0.3221,red,0.701,orange,0.5759,green,0.0,green,0.0048,red,0.9374,red,0.4538,orange,0.2702,orange,0.0926,red,0.4377,green
4200408,0.2108,orange,0.3791,orange,0.3558,yellow,0.0,red,0.4805,orange,0.5462,green,0.3398,green,0.1875,red,0.1419,yellow,0.154,green,0.1098,yellow,0.1599,orange,0.1378,yellow,0.2409,yellow,0.1269,orange,0.5142,red,0.0647,green,0.4167,yellow,0.2192,yellow,0.3358,orange,0.4132,orange,0.0,orange,0.5092,red,0.2589,red,0.1763,yellow,0.3988,orange,0.3549,yellow,0.353,yellow,1.0,green,0.0077,yellow,0.2597,yellow,0.0953,yellow,0.4878,red,0.56,yellow,0.5779,red,0.0426,green,0.1701,red,0.0925,red,0.9203,green,0.8947,green,0.4629,red,0.1185,orange,0.0242,orange,0.6161,red,0.1861,red,0.9358,yellow,0.4638,yellow,0.2491,orange,0.5616,green,0.4988,yellow,0.511,orange,0.4374,yellow,0.1519,orange,0.1403,orange
4200507,0.1513,green,0.2464,green,0.7604,red,0.0,red,0.4075,yellow,0.2502,green,0.2083,yellow,0.0456,yellow,0.2906,orange,0.0124,orange,0.0786,yellow,0.0548,yellow,0.0721,green,0.1536,orange,0.0719,orange,0.6334,orange,0.1875,orange,0.4158,yellow,0.2177,yellow,0.4897,red,0.2798,yellow,0.0,orange,0.3457,yellow,0.1839,yellow,0.2908,orange,0.4689,yellow,0.2688,yellow,0.2207,orange,0.8342,red,0.9706,red,0.277,green,0.1148,yellow,0.3075,orange,0.5395,yellow,0.4053,orange,0.0594,yellow,0.5243,green,0.2315,yellow,0.8763,yellow,0.8089,yellow,0.9556,green,0.0281,red,0.291,green,0.606,red,0.1739,red,0.6263,red,0.5167,yellow,0.14,green,0.1587,green,0.5784,orange,0.5259,orange,0.0586,red,0.2284,yellow,0.0985,orange
4200556,0.2011,orange,0.0995,green,0.2595,green,0.0,red,0.2267,green,0.1906,green,0.4982,green,0.1136,red,0.1852,yellow,0.0186,orange,0.1014,yellow,0.0,green,0.1985,orange,0.6787,green,0.0429,red,0.4224,red,0.1229,yellow,0.1804,green,0.0799,green,0.2827,orange,0.1969,green,0.0,orange,0.2061,green,0.0789,green,0.5326,red,0.7268,green,0.3633,yellow,0.5257,green,1.0,green,0.2439,red,0.2639,yellow,0.5472,red,0.1765,green,0.676,green,0.2946,yellow,0.058,yellow,0.5372,green,0.3395,green,0.9774,green,0.8056,yellow,0.9612,green,0.2368,green,0.0834,green,0.0309,green,0.4489,yellow,0.9649,green,0.384,orange,0.2555,orange,0.3209,green,0.3781,green,0.4144,red,0.3758,yellow,0.2287,yellow,0.0463,red
4200606,0.4956,red,0.3762,orange,0.5331,red,0.0,red,0.5645,red,0.5816,green,0.1842,orange,0.0347,yellow,0.1354,green,0.0997,green,0.1184,yellow,0.1097,yellow,0.1093,yellow,0.197,orange,0.1223,orange,0.6337,orange,0.0455,green,0.249,green,0.1062,green,0.2532,yellow,0.2963,yellow,0.0,orange,0.3101,yellow,0.1473,yellow,0.2909,orange,0.6675,green,0.6511,red,0.1919,orange,1.0,green,0.0253,orange,0.1631,orange,0.2651,red,0.1418,green,0.5129,yellow,0.1252,green,0.1831,red,0.1103,red,0.1198,red,0.8022,yellow,0.6495,red,0.9689,green,0.145,yellow,0.0114,red,0.3958,orange,0.3858,orange,0.9422,yellow,0.6834,green,0.1872,yellow,0.0301,yellow,0.5631,yellow,0.3262,red,0.2318,orange,0.1714,orange,0.2609,yellow
4200705,0.1589,green,0.2794,green,0.5267,red,0.0,red,0.3457,green,0.4194,green,0.3804,green,0.0732,orange,0.2129,orange,0.0981,green,0.1866,orange,0.1395,orange,0.3024,red,0.1324,orange,0.1198,orange,0.7973,green,0.2014,orange,0.4672,orange,0.17,yellow,0.2048,yellow,0.3189,yellow,0.0,orange,0.2898,green,0.1304,green,0.0,green,0.4065,orange,0.4177,orange,0.3944,yellow,0.9436,orange,0.006,yellow,0.1179,red,0.0394,green,0.4838,red,0.4848,orange,0.3521,orange,0.0361,green,0.1753,red,0.1174,red,0.7151,orange,0.5554,red,0.8435,red,0.3062,green,0.0443,yellow,0.4416,orange,0.1784,red,0.8074,orange,0.5067,yellow,0.2964,orange,0.051,yellow,0.6946,red,0.2411,red,0.1257,red,0.096,red,0.1508,yellow
4200754,0.2348,red,0.5208,red,0.141,green,0.0,red,0.4117,yellow,0.0201,red,0.1549,orange,0.118,red,0.3279,red,0.0456,yellow,0.1936,orange,0.1844,orange,0.1209,yellow,0.6038,green,0.0322,red,0.4122,red,0.3521,red,0.5937,red,0.3796,red,0.4798,red,0.0,green,0.0,orange,0.1912,green,0.0,green,0.0,green,0.7435,green,0.5302,red,0.7014,green,1.0,green,0.0808,orange,0.4025,green,0.2031,orange,0.2488,yellow,0.8501,green,0.1649,green,0.0,green,0.1322,red,0.2787,green,0.9079,green,0.8118,yellow,1.0,green,0.0897,orange,0.0475,yellow,0.0802,green,0.5022,yellow,0.9678,green,0.5093,yellow,0.0,green,0.0251,yellow,0.4494,yellow,0.7503,yellow,0.1848,red,0.2605,green,0.047,red
