cod_indicador,nome_indicador,ods,comunidade,comunidade_nome,status,degree,betweenness,degree_centrality,eigenvector
SDG15_2_FLOR,Hectare de áreas florestadas e naturais por habitante,15,0,Desenvolvimento Institucional e Ambiental,componente_principal,15,0.099579,0.283019,0.242748
SDG4_1_P_EF_INT,"Acesso à internet nas escolas do ensino fundamental e médio, na rede pública (%)",4,1,Vulnerabilidade Social e Violência,componente_principal,6,0.077323,0.113208,0.082535
SDG3_1_C_VCN,Cobertura vacinal (%),3,1,Vulnerabilidade Social e Violência,componente_principal,12,0.076956,0.226415,0.196402
SDG3_6_ID_MD_M,Idade média ao morrer,3,1,Vulnerabilidade Social e Violência,componente_principal,16,0.07167,0.301887,0.231985
SDG3_3_P_NV_7PN,Pré-natal insuficiente (%),3,1,Vulnerabilidade Social e Violência,componente_principal,4,0.05225,0.075472,0.02698
SDG4_13_P_E_ACS,Escolas com dependências adequadas a pessoas com deficiência (%),4,3,Infraestrutura Escolar,componente_principal,2,0.05225,0.037736,0.007001
SDG1_1_P_F_CU,Famílias inscritas no Cadastro Único para programas sociais (%),1,1,Vulnerabilidade Social e Violência,componente_principal,10,0.049802,0.188679,0.065269
SDG17_3_P_RC_TRB,Total de receitas municipais arrecadadas (%),17,0,Desenvolvimento Institucional e Ambiental,componente_principal,19,0.046086,0.358491,0.321473
SDG3_27_DSP_SAU,"Orçamento municipal para a saúde (em reais, per capita)",3,0,Desenvolvimento Institucional e Ambiental,componente_principal,14,0.041031,0.264151,0.267658
SDG4_7_FR_E_4A17_AJ,Crianças e jovens de 4 a 17 anos na escola (%),4,0,Desenvolvimento Institucional e Ambiental,componente_principal,17,0.037253,0.320755,0.304199
SDG3_8_GRV,Gravidez na adolescência (%),3,1,Vulnerabilidade Social e Violência,componente_principal,8,0.033334,0.150943,0.066346
SDG2_3_DSNT_INF,Desnutrição infantil (%),2,1,Vulnerabilidade Social e Violência,componente_principal,2,0.026851,0.037736,0.002289
SDG4_26_R_M_D_PE,Razão entre o número de matrículas e professores na pré-escola (taxa),4,3,Infraestrutura Escolar,componente_principal,2,0.026851,0.037736,0.000594
SDG3_19_T_M_AIDS,Mortalidade por Aids (100 mil habitantes),3,0,Desenvolvimento Institucional e Ambiental,componente_principal,13,0.026612,0.245283,0.235397
SDG13_2_CO2,Emissões de CO²e per capita,13,0,Desenvolvimento Institucional e Ambiental,componente_principal,17,0.025558,0.320755,0.297421
SDG6_6_SERV_AG,População total atendida com abastecimento de água (%),6,0,Desenvolvimento Institucional e Ambiental,componente_principal,16,0.020725,0.301887,0.301095
SDG17_1_INVST_PB,Investimento público (R$ per capita),17,0,Desenvolvimento Institucional e Ambiental,componente_principal,11,0.01611,0.207547,0.22056
SDG3_2_INC_DNG,Incidência de dengue (100 mil habitantes),3,2,Doenças Infecciosas e Resíduos,componente_principal,3,0.013062,0.056604,0.022675
SDG3_3_HPT,Detecção de hepatite (100 mil habitantes),3,2,Doenças Infecciosas e Resíduos,componente_principal,3,0.013062,0.056604,0.022675
SDG3_9_INC_TRB,Incidência de tuberculose (100 mil habitantes),3,0,Desenvolvimento Institucional e Ambiental,componente_principal,11,0.012847,0.207547,0.218487
SDG4_3_TDI_EF_RP,Taxa de distorção idade-série no Ensino Fundamental - rede pública,4,1,Vulnerabilidade Social e Violência,componente_principal,6,0.012641,0.113208,0.056387
